SD_CD,SGG_CD,EMD_CD,RI_CD,SD,SGG,EMD,RI,IS_EXISTS
11,000,000,00,서울특별시,,,,True
11,110,000,00,서울특별시,종로구,,,True
11,110,101,00,서울특별시,종로구,청운동,,True
11,110,102,00,서울특별시,종로구,신교동,,True
11,110,103,00,서울특별시,종로구,궁정동,,True
11,110,104,00,서울특별시,종로구,효자동,,True
11,110,105,00,서울특별시,종로구,창성동,,True
11,110,106,00,서울특별시,종로구,통의동,,True
11,110,107,00,서울특별시,종로구,적선동,,True
11,110,108,00,서울특별시,종로구,통인동,,True
11,110,109,00,서울특별시,종로구,누상동,,True
11,110,110,00,서울특별시,종로구,누하동,,True
11,110,111,00,서울특별시,종로구,옥인동,,True
11,110,112,00,서울특별시,종로구,체부동,,True
11,110,113,00,서울특별시,종로구,필운동,,True
11,110,114,00,서울특별시,종로구,내자동,,True
11,110,115,00,서울특별시,종로구,사직동,,True
11,110,116,00,서울특별시,종로구,도렴동,,True
11,110,117,00,서울특별시,종로구,당주동,,True
11,110,118,00,서울특별시,종로구,내수동,,True
11,110,119,00,서울특별시,종로구,세종로,,True
11,110,120,00,서울특별시,종로구,신문로1가,,True
11,110,121,00,서울특별시,종로구,신문로2가,,True
11,110,122,00,서울특별시,종로구,청진동,,True
11,110,123,00,서울특별시,종로구,서린동,,True
11,110,124,00,서울특별시,종로구,수송동,,True
11,110,125,00,서울특별시,종로구,중학동,,True
11,110,126,00,서울특별시,종로구,종로1가,,True
11,110,127,00,서울특별시,종로구,공평동,,True
11,110,128,00,서울특별시,종로구,관훈동,,True
11,110,129,00,서울특별시,종로구,견지동,,True
11,110,130,00,서울특별시,종로구,와룡동,,True
11,110,131,00,서울특별시,종로구,권농동,,True
11,110,132,00,서울특별시,종로구,운니동,,True
11,110,133,00,서울특별시,종로구,익선동,,True
11,110,134,00,서울특별시,종로구,경운동,,True
11,110,135,00,서울특별시,종로구,관철동,,True
11,110,136,00,서울특별시,종로구,인사동,,True
11,110,137,00,서울특별시,종로구,낙원동,,True
11,110,138,00,서울특별시,종로구,종로2가,,True
11,110,139,00,서울특별시,종로구,팔판동,,True
11,110,140,00,서울특별시,종로구,삼청동,,True
11,110,141,00,서울특별시,종로구,안국동,,True
11,110,142,00,서울특별시,종로구,소격동,,True
11,110,143,00,서울특별시,종로구,화동,,True
11,110,144,00,서울특별시,종로구,사간동,,True
11,110,145,00,서울특별시,종로구,송현동,,True
11,110,146,00,서울특별시,종로구,가회동,,True
11,110,147,00,서울특별시,종로구,재동,,True
11,110,148,00,서울특별시,종로구,계동,,True
11,110,149,00,서울특별시,종로구,원서동,,True
11,110,150,00,서울특별시,종로구,훈정동,,True
11,110,151,00,서울특별시,종로구,묘동,,True
11,110,152,00,서울특별시,종로구,봉익동,,True
11,110,153,00,서울특별시,종로구,돈의동,,True
11,110,154,00,서울특별시,종로구,장사동,,True
11,110,155,00,서울특별시,종로구,관수동,,True
11,110,156,00,서울특별시,종로구,종로3가,,True
11,110,157,00,서울특별시,종로구,인의동,,True
11,110,158,00,서울특별시,종로구,예지동,,True
11,110,159,00,서울특별시,종로구,원남동,,True
11,110,160,00,서울특별시,종로구,연지동,,True
11,110,161,00,서울특별시,종로구,종로4가,,True
11,110,162,00,서울특별시,종로구,효제동,,True
11,110,163,00,서울특별시,종로구,종로5가,,True
11,110,164,00,서울특별시,종로구,종로6가,,True
11,110,165,00,서울특별시,종로구,이화동,,True
11,110,166,00,서울특별시,종로구,연건동,,True
11,110,167,00,서울특별시,종로구,충신동,,True
11,110,168,00,서울특별시,종로구,동숭동,,True
11,110,169,00,서울특별시,종로구,혜화동,,True
11,110,170,00,서울특별시,종로구,명륜1가,,True
11,110,171,00,서울특별시,종로구,명륜2가,,True
11,110,172,00,서울특별시,종로구,명륜4가,,True
11,110,173,00,서울특별시,종로구,명륜3가,,True
11,110,174,00,서울특별시,종로구,창신동,,True
11,110,175,00,서울특별시,종로구,숭인동,,True
11,110,176,00,서울특별시,종로구,교남동,,True
11,110,177,00,서울특별시,종로구,평동,,True
11,110,178,00,서울특별시,종로구,송월동,,True
11,110,179,00,서울특별시,종로구,홍파동,,True
11,110,180,00,서울특별시,종로구,교북동,,True
11,110,181,00,서울특별시,종로구,행촌동,,True
11,110,182,00,서울특별시,종로구,구기동,,True
11,110,183,00,서울특별시,종로구,평창동,,True
11,110,184,00,서울특별시,종로구,부암동,,True
11,110,185,00,서울특별시,종로구,홍지동,,True
11,110,186,00,서울특별시,종로구,신영동,,True
11,110,187,00,서울특별시,종로구,무악동,,True
11,110,901,00,서울특별시,종로구,창신1동,,False
11,110,902,00,서울특별시,종로구,창신2동,,False
11,110,903,00,서울특별시,종로구,창신3동,,False
11,110,904,00,서울특별시,종로구,숭인1동,,False
11,110,905,00,서울특별시,종로구,숭인2동,,False
11,140,000,00,서울특별시,중구,,,True
11,140,001,00,서울특별시,중구,동자동,,False
